/home/yingqi/assignment-2022fall/assignment3/core
/home/yingqi/assignment-2022fall/assignment3/core
:device:device((warningwarning): ): /dev/input/event/dev/input/event22 is not readable, some features will be unavailable.
 is not readable, some features will be unavailable.
:device(warning): /dev/input/event2 is not readable, some features will be unavailable.
:device(warning): /dev/input/event2 is not readable, some features will be unavailable.
:device:device((warningwarning): ): /dev/input/event/dev/input/event22 is not readable, some features will be unavailable.
 is not readable, some features will be unavailable.
:device:device:device:device((((warningwarningwarningwarning): ): ): ): /dev/input/event/dev/input/event/dev/input/event/dev/input/event2222 is not readable, some features will be unavailable.
 is not readable, some features will be unavailable.
 is not readable, some features will be unavailable.
 is not readable, some features will be unavailable.
Successfully load weights from /home/yingqi/assignment-2022fall/assignment3/core/checkpoint-expert.pkl!
Generated 1000/100000 steps from the expert. Average episode reward: 245.908, success rate: 0.000
Generated 2000/100000 steps from the expert. Average episode reward: 248.558, success rate: 0.000
Generated 3000/100000 steps from the expert. Average episode reward: 247.683, success rate: 0.000
Generated 4000/100000 steps from the expert. Average episode reward: 251.631, success rate: 0.000
Generated 5000/100000 steps from the expert. Average episode reward: 251.872, success rate: 0.000
Generated 6000/100000 steps from the expert. Average episode reward: 251.148, success rate: 0.000
Generated 7000/100000 steps from the expert. Average episode reward: 250.502, success rate: 0.000
Generated 8000/100000 steps from the expert. Average episode reward: 253.712, success rate: 0.000
Generated 9000/100000 steps from the expert. Average episode reward: 254.955, success rate: 0.000
Generated 10000/100000 steps from the expert. Average episode reward: 253.721, success rate: 0.000
Generated 100000 steps from the expert. Average episode reward: 253.721, success rate: 0.000
Start training!
===== gail Training Iteration 0 =====:
  adv_mean: null
  discriminator_loss: 0.050772979810090664
  entropy: 2.4971183810478603
  episode_reward: 6.19757863714362
  frame_per_second: 172
  gail_reward: 0.003277304849530666
  grad_norm: 0.8518571425706912
  iteration: 0
  log_dir: /home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail
  policy_loss: -0.003920867275267553
  ratio: 0.9986670185358096
  success_rate: 0.0
  total_episodes: 18
  total_loss: -0.003920867275267553
  total_steps: 20000
  total_time: 115.63633036613464

Trainer is saved at </home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail/checkpoint-iter0.pkl>. Progress is saved at </home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail/progress.csv>.
===== gail Training Iteration 1 =====:
  adv_mean: null
  discriminator_loss: 0.019726295269039185
  entropy: 2.142443403066733
  episode_reward: 11.154942057028702
  frame_per_second: 164
  gail_reward: 0.0037105014679046015
  grad_norm: 0.6981514994914715
  iteration: 1
  log_dir: /home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail
  policy_loss: -0.004429155233083293
  ratio: 1.0019639504261506
  success_rate: 0.0
  total_episodes: 44
  total_loss: -0.004429155233083293
  total_steps: 40000
  total_time: 243.7185354232788

===== gail Training Iteration 2 =====:
  adv_mean: null
  discriminator_loss: 0.02533051015586795
  entropy: 1.8143282257593596
  episode_reward: 14.066931499197834
  frame_per_second: 161
  gail_reward: 0.014569231298250648
  grad_norm: 3.170351450259869
  iteration: 2
  log_dir: /home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail
  policy_loss: -0.01709014245738777
  ratio: 1.0035755646534454
  success_rate: 0.0
  total_episodes: 87
  total_loss: -0.01709014245738777
  total_steps: 60000
  total_time: 370.88134694099426

===== gail Training Iteration 3 =====:
  adv_mean: null
  discriminator_loss: 0.033518119948551965
  entropy: 1.5623176414232987
  episode_reward: 13.861566004765029
  frame_per_second: 160
  gail_reward: 0.008297037052062268
  grad_norm: 0.9150401298052225
  iteration: 3
  log_dir: /home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail
  policy_loss: -0.009699170805740719
  ratio: 0.9998536257407604
  success_rate: 0.0
  total_episodes: 191
  total_loss: -0.009699170805740719
  total_steps: 80000
  total_time: 498.63370633125305

===== gail Training Iteration 4 =====:
  adv_mean: null
  discriminator_loss: 0.051863132688987
  entropy: 1.3190012216567992
  episode_reward: 12.438627463541279
  frame_per_second: 159
  gail_reward: 0.015258866525255144
  grad_norm: 1.9788482117347228
  iteration: 4
  log_dir: /home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail
  policy_loss: -0.01730180757168012
  ratio: 0.999206437361546
  success_rate: 0.0
  total_episodes: 396
  total_loss: -0.01730180757168012
  total_steps: 100000
  total_time: 628.1786079406738

===== gail Training Iteration 5 =====:
  adv_mean: null
  discriminator_loss: 0.07348862013940771
  entropy: 1.1033311480130905
  episode_reward: 14.149723126273278
  frame_per_second: 157
  gail_reward: 0.011774032125368905
  grad_norm: 3.763456528309064
  iteration: 5
  log_dir: /home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail
  policy_loss: -0.013093647140508088
  ratio: 0.999217304510948
  success_rate: 0.0
  total_episodes: 677
  total_loss: -0.013093647140508088
  total_steps: 120000
  total_time: 764.0850365161896

===== gail Training Iteration 6 =====:
  adv_mean: null
  discriminator_loss: 0.11295309365906107
  entropy: 0.9244457233410616
  episode_reward: 20.86487614098676
  frame_per_second: 155
  gail_reward: 0.029387154387166867
  grad_norm: 1.9233345294610047
  iteration: 6
  log_dir: /home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail
  policy_loss: -0.031172378831662427
  ratio: 1.0001510398510174
  success_rate: 0.0
  total_episodes: 970
  total_loss: -0.031172378831662427
  total_steps: 140000
  total_time: 898.8787317276001

===== gail Training Iteration 7 =====:
  adv_mean: null
  discriminator_loss: 0.1780559068497939
  entropy: 0.8226592044799755
  episode_reward: 30.477801639315977
  frame_per_second: 154
  gail_reward: 0.04362496182991144
  grad_norm: 1.8449201457011395
  iteration: 7
  log_dir: /home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail
  policy_loss: -0.045109495224478914
  ratio: 0.9994687397510578
  success_rate: 0.0
  total_episodes: 1248
  total_loss: -0.045109495224478914
  total_steps: 160000
  total_time: 1034.1994333267212

===== gail Training Iteration 8 =====:
  adv_mean: null
  discriminator_loss: 0.16576358783751344
  entropy: 0.7284973954543089
  episode_reward: 26.70730079129722
  frame_per_second: 153
  gail_reward: 0.056772813014686105
  grad_norm: 0.9304459217267159
  iteration: 8
  log_dir: /home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail
  policy_loss: -0.057313104967276256
  ratio: 0.9992417628184344
  success_rate: 0.0
  total_episodes: 1531
  total_loss: -0.057313104967276256
  total_steps: 180000
  total_time: 1171.4090292453766

===== gail Training Iteration 9 =====:
  adv_mean: null
  discriminator_loss: 0.18545534367458177
  entropy: 0.6822779210714194
  episode_reward: 30.347518380032902
  frame_per_second: 152
  gail_reward: 0.056495764684409665
  grad_norm: 3.009558965303959
  iteration: 9
  log_dir: /home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail
  policy_loss: -0.05688682745855588
  ratio: 1.000228624084057
  success_rate: 0.0
  total_episodes: 1810
  total_loss: -0.05688682745855588
  total_steps: 200000
  total_time: 1308.8606715202332

===== gail Training Iteration 10 =====:
  adv_mean: null
  discriminator_loss: 0.2002912230283404
  entropy: 0.670824296046526
  episode_reward: 43.78556001507562
  frame_per_second: 152
  gail_reward: 0.04721755658109219
  grad_norm: 2.2600518501721893
  iteration: 10
  log_dir: /home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail
  policy_loss: -0.0475060622422741
  ratio: 0.9999923358360926
  success_rate: 0.0
  total_episodes: 2056
  total_loss: -0.0475060622422741
  total_steps: 220000
  total_time: 1444.1065635681152

Trainer is saved at </home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail/checkpoint-iter10.pkl>. Progress is saved at </home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail/progress.csv>.
===== gail Training Iteration 11 =====:
  adv_mean: null
  discriminator_loss: 0.18822066867915102
  entropy: 0.6077130023485575
  episode_reward: 45.59016894387634
  frame_per_second: 151
  gail_reward: 0.04744800788660844
  grad_norm: 1.2133928817052109
  iteration: 11
  log_dir: /home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail
  policy_loss: -0.0477289664821747
  ratio: 0.9995776064884968
  success_rate: 0.0
  total_episodes: 2313
  total_loss: -0.0477289664821747
  total_steps: 240000
  total_time: 1579.7552783489227

===== gail Training Iteration 12 =====:
  adv_mean: null
  discriminator_loss: 0.16654450214587344
  entropy: 0.5464264146410502
  episode_reward: 56.583736303425084
  frame_per_second: 151
  gail_reward: 0.04705686420679857
  grad_norm: 2.4714897296367546
  iteration: 12
  log_dir: /home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail
  policy_loss: -0.047337146843664156
  ratio: 1.0000626541101016
  success_rate: 0.0
  total_episodes: 2550
  total_loss: -0.047337146843664156
  total_steps: 260000
  total_time: 1714.6077144145966

===== gail Training Iteration 13 =====:
  adv_mean: null
  discriminator_loss: 0.16618128083025416
  entropy: 0.6153640307677097
  episode_reward: 62.57226639683445
  frame_per_second: 151
  gail_reward: 0.03952320217847442
  grad_norm: 2.016603823350026
  iteration: 13
  log_dir: /home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail
  policy_loss: -0.039790417041438514
  ratio: 0.9998249623255852
  success_rate: 0.0
  total_episodes: 2773
