/home/yingqi/assignment-2022fall/assignment3/core
:device(warning): /dev/input/event2 is not readable, some features will be unavailable.
:device:device(warning): /dev/input/event2 is not readable, some features will be unavailable.
(warning): /dev/input/event2 is not readable, some features will be unavailable.
:device:device((:devicewarningwarning): (): /dev/input/eventwarning/dev/input/event2): 2 is not readable, some features will be unavailable.
/dev/input/event is not readable, some features will be unavailable.
2 is not readable, some features will be unavailable.
:device:device(warning(): warning/dev/input/event): 2/dev/input/event is not readable, some features will be unavailable.
2 is not readable, some features will be unavailable.
:device(warning): /dev/input/event2 is not readable, some features will be unavailable.
:device(warning): /dev/input/event2 is not readable, some features will be unavailable.
Start training!
===== ppo Training Iteration 0 =====:
  adv_mean: 0.19262570142745972
  entropy: 2.7911420330023153
  episode_reward: 9.099629953855937
  frame_per_second: 186
  grad_norm: 0.9601390370764793
  iteration: 0
  log_dir: /home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-100Env-v0/ppo
  policy_loss: -0.010367280145724996
  ratio: 1.0003821169718718
  success_rate: 0.0
  total_episodes: 15
  total_loss: 0.025528734798978967
  total_steps: 20000
  total_time: 107.22986125946045
  value_loss: 0.03589601435949309

Trainer is saved at </home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-100Env-v0/ppo/checkpoint-iter0.pkl>. Progress is saved at </home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-100Env-v0/ppo/progress.csv>.
===== ppo Training Iteration 1 =====:
  adv_mean: 0.23726581037044525
  entropy: 2.752902751396864
  episode_reward: 11.12762810427146
  frame_per_second: 185
  grad_norm: 1.1870038994611838
  iteration: 1
  log_dir: /home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-100Env-v0/ppo
  policy_loss: -0.009614861320751981
  ratio: 1.0003674773069529
  success_rate: 0.0
  total_episodes: 40
  total_loss: 0.04307366672497338
  total_steps: 40000
  total_time: 215.2766559123993
  value_loss: 0.052688527991995214

===== ppo Training Iteration 2 =====:
  adv_mean: 0.2940478026866913
  entropy: 2.6703558567242744
  episode_reward: 12.434517212702652
  frame_per_second: 182
  grad_norm: 1.413361101836348
  iteration: 2
  log_dir: /home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-100Env-v0/ppo
  policy_loss: -0.008412548393990176
  ratio: 0.9998835118917319
  success_rate: 0.0
  total_episodes: 72
  total_loss: 0.1312200625325577
  total_steps: 60000
