/home/yingqi/assignment-2022fall/assignment3/core
:device(warning): /dev/input/event2 is not readable, some features will be unavailable.
:device(warning): /dev/input/event2 is not readable, some features will be unavailable.
:device(warning): /dev/input/event2 is not readable, some features will be unavailable.
:device(warning): /dev/input/event2 is not readable, some features will be unavailable.
:device(warning): /dev/input/event2 is not readable, some features will be unavailable.
:device(warning): /dev/input/event2 is not readable, some features will be unavailable.
:device(warning:device): (/dev/input/eventwarning2):  is not readable, some features will be unavailable.
/dev/input/event2 is not readable, some features will be unavailable.
:device:device((warningwarning): ): /dev/input/event/dev/input/event22 is not readable, some features will be unavailable.
 is not readable, some features will be unavailable.
Start training!
===== ppo Training Iteration 0 =====:
  adv_mean: 0.19492556154727936
  entropy: 2.7860536232972755
  episode_reward: 9.566129289714166
  frame_per_second: 185
  grad_norm: 1.0461167874053503
  iteration: 0
  log_dir: /home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo
  policy_loss: -0.010029366516914124
  ratio: 1.0004857306297008
  success_rate: 0.0
  total_episodes: 15
  total_loss: 0.02543887471756301
  total_steps: 20000
  total_time: 107.67220878601074
  value_loss: 0.03546824134731044

Trainer is saved at </home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo/checkpoint-iter0.pkl>. Progress is saved at </home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo/progress.csv>.
===== ppo Training Iteration 1 =====:
  adv_mean: 0.26026439666748047
  entropy: 2.7236563297418446
  episode_reward: 12.636506668408332
  frame_per_second: 186
  grad_norm: 1.2706180905111326
  iteration: 1
  log_dir: /home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo
  policy_loss: -0.01577640666256253
  ratio: 1.00063781279784
  success_rate: 0.0
  total_episodes: 36
  total_loss: 0.01470152223568547
  total_steps: 40000
  total_time: 213.99050283432007
  value_loss: 0.030477928874106743

===== ppo Training Iteration 2 =====:
  adv_mean: 0.32603904604911804
  entropy: 2.6407688544346737
  episode_reward: 15.086271183697628
  frame_per_second: 184
  grad_norm: 1.5148813667014622
  iteration: 2
  log_dir: /home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo
  policy_loss: -0.011610518115906953
  ratio: 0.9998095387831712
  success_rate: 0.0
  total_episodes: 62
  total_loss: 0.09733047389711898
  total_steps: 60000
  total_time: 325.0860984325409
  value_loss: 0.10894099173780818

===== ppo Training Iteration 3 =====:
  adv_mean: 0.4391081929206848
  entropy: 2.5668498806464366
  episode_reward: 17.950945362214597
  frame_per_second: 182
  grad_norm: 1.7440861912491994
  iteration: 3
  log_dir: /home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo
  policy_loss: -0.01080798112297765
  ratio: 0.9980946954244222
  success_rate: 0.0
  total_episodes: 93
  total_loss: 0.19474011714725445
  total_steps: 80000
  total_time: 437.5102491378784
  value_loss: 0.20554809871678933

===== ppo Training Iteration 4 =====:
  adv_mean: 0.6536592841148376
  entropy: 2.462351334706331
  episode_reward: 22.361377216886204
  frame_per_second: 181
  grad_norm: 2.214558525956594
  iteration: 4
  log_dir: /home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo
  policy_loss: -0.010268365195355355
  ratio: 1.0002239348796698
  success_rate: 0.0
  total_episodes: 132
  total_loss: 0.38660904190455303
  total_steps: 100000
  total_time: 549.6079366207123
  value_loss: 0.3968774071870706

===== ppo Training Iteration 5 =====:
  adv_mean: 0.7330841422080994
  entropy: 2.33007820447286
  episode_reward: 23.513525764869364
  frame_per_second: 180
  grad_norm: 2.8479270120843863
  iteration: 5
  log_dir: /home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo
  policy_loss: -0.005118514441598493
  ratio: 1.0004916680164826
  success_rate: 0.0
  total_episodes: 200
  total_loss: 0.9371833740900725
  total_steps: 120000
  total_time: 664.0737648010254
  value_loss: 0.9423018896808991

===== ppo Training Iteration 6 =====:
  adv_mean: 0.9228494167327881
  entropy: 2.2485635008567417
  episode_reward: 19.113646312381245
  frame_per_second: 178
  grad_norm: 3.9004450298272646
  iteration: 6
  log_dir: /home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo
  policy_loss: -0.004507319108009912
  ratio: 1.0003179090909469
  success_rate: 0.0
  total_episodes: 301
  total_loss: 1.8518494566281636
  total_steps: 140000
  total_time: 782.2879321575165
  value_loss: 1.8563567698766024

===== ppo Training Iteration 7 =====:
  adv_mean: 1.3308650255203247
  entropy: 2.1715062755804797
  episode_reward: 25.838246671073858
  frame_per_second: 178
  grad_norm: 5.017548448611528
  iteration: 7
  log_dir: /home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo
  policy_loss: -0.005820459628907534
  ratio: 1.000627363415865
  success_rate: 0.0
  total_episodes: 407
  total_loss: 2.6279274558409664
  total_steps: 160000
  total_time: 897.7415056228638
  value_loss: 2.6337479192477007

===== ppo Training Iteration 8 =====:
  adv_mean: 1.9051951169967651
  entropy: 2.055711375444363
  episode_reward: 36.299280567552415
  frame_per_second: 178
  grad_norm: 7.473375678215271
  iteration: 8
  log_dir: /home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo
  policy_loss: -0.005474183269036122
  ratio: 0.9995956487380542
  success_rate: 0.0
  total_episodes: 505
  total_loss: 3.6720648230650488
  total_steps: 180000
  total_time: 1011.0825483798981
  value_loss: 3.677538991280091

===== ppo Training Iteration 9 =====:
  adv_mean: 2.3005709648132324
  entropy: 1.9927440611215739
  episode_reward: 55.33122146807754
  frame_per_second: 178
  grad_norm: 10.087499802387677
  iteration: 9
  log_dir: /home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo
  policy_loss: -0.00698063616366245
  ratio: 0.9988755120680882
  success_rate: 0.0
  total_episodes: 576
  total_loss: 3.807319636069811
  total_steps: 200000
  total_time: 1123.3335144519806
  value_loss: 3.8143002783640836

===== ppo Training Iteration 10 =====:
  adv_mean: 3.5565803050994873
  entropy: 1.907235104456926
  episode_reward: 82.72298783838158
  frame_per_second: 177
  grad_norm: 16.450730451253744
  iteration: 10
  log_dir: /home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo
  policy_loss: -0.005385570428692378
  ratio: 1.0008555604097171
  success_rate: 0.01
  total_episodes: 652
  total_loss: 6.671220566064884
  total_steps: 220000
  total_time: 1238.7787346839905
  value_loss: 6.676606148939866

Trainer is saved at </home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo/checkpoint-iter10.pkl>. Progress is saved at </home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo/progress.csv>.
===== ppo Training Iteration 11 =====:
  adv_mean: 3.723597526550293
  entropy: 1.8545352883827992
  episode_reward: 101.61470841166812
  frame_per_second: 177
  grad_norm: 26.56475822375371
  iteration: 11
  log_dir: /home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo
  policy_loss: -0.004759038589560451
  ratio: 0.9992009605352695
  success_rate: 0.02
  total_episodes: 735
  total_loss: 10.3881956412242
  total_steps: 240000
  total_time: 1349.9632296562195
  value_loss: 10.392954673522558

===== ppo Training Iteration 12 =====:
  adv_mean: 3.689025402069092
  entropy: 1.788454948174648
  episode_reward: 110.75095778248345
  frame_per_second: 177
  grad_norm: 36.052446298110176
  iteration: 12
  log_dir: /home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo
  policy_loss: -0.005244569340720773
  ratio: 1.0003465266563953
  success_rate: 0.02
  total_episodes: 814
  total_loss: 12.668529076453966
  total_steps: 260000
  total_time: 1467.6624763011932
  value_loss: 12.67377367508717

===== ppo Training Iteration 13 =====:
  adv_mean: 3.935971736907959
  entropy: 1.7145596394172082
  episode_reward: 125.12871459712875
  frame_per_second: 176
  grad_norm: 49.70627849224286
  iteration: 13
  log_dir: /home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo
  policy_loss: -0.0051120852454541585
  ratio: 0.9999384783781492
  success_rate: 0.03
  total_episodes: 890
  total_loss: 15.539401309306806
  total_steps: 280000
  total_time: 1587.3879249095917
  value_loss: 15.544513383889809

===== ppo Training Iteration 14 =====:
  adv_mean: 3.6050992012023926
  entropy: 1.6492398612010173
  episode_reward: 128.0416902824162
  frame_per_second: 175
  grad_norm: 67.73569305737813
  iteration: 14
  log_dir: /home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo
  policy_loss: -0.004651906126393722
  ratio: 0.9998968987892836
  success_rate: 0.03
  total_episodes: 978
  total_loss: 22.299202097379244
  total_steps: 300000
  total_time: 1705.0379214286804
  value_loss: 22.303853953190337

===== ppo Training Iteration 15 =====:
  adv_mean: 4.43877649307251
  entropy: 1.5068058750568292
  episode_reward: 149.62401328986206
  frame_per_second: 175
  grad_norm: 102.39352670816275
  iteration: 15
  log_dir: /home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo
  policy_loss: -0.004692933517388809
  ratio: 1.0010111843928313
  success_rate: 0.03
  total_episodes: 1068
  total_loss: 28.124548096534532
  total_steps: 320000
  total_time: 1824.444289445877
  value_loss: 28.129240992130377

===== ppo Training Iteration 16 =====:
  adv_mean: 3.7596609592437744
  entropy: 1.4114844623284462
  episode_reward: 127.84181837737802
  frame_per_second: 175
  grad_norm: 127.6874417598431
  iteration: 16
  log_dir: /home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo
  policy_loss: -0.004525395820084482
  ratio: 0.9994608897429246
  success_rate: 0.03
  total_episodes: 1176
  total_loss: 33.59775902674748
  total_steps: 340000
  total_time: 1942.2131078243256
  value_loss: 33.60228433609009

===== ppo Training Iteration 17 =====:
  adv_mean: 3.5844078063964844
  entropy: 1.3696386989874718
  episode_reward: 137.64522158518358
  frame_per_second: 174
  grad_norm: 159.32015130947798
  iteration: 17
  log_dir: /home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo
  policy_loss: -0.0030484219720491616
  ratio: 0.9994582688197111
  success_rate: 0.0
  total_episodes: 1281
  total_loss: 37.0434543071649
  total_steps: 360000
  total_time: 2062.5829083919525
  value_loss: 37.04650266353901

===== ppo Training Iteration 18 =====:
  adv_mean: 3.6050851345062256
  entropy: 1.2838108866642683
  episode_reward: 145.70387523755898
  frame_per_second: 174
  grad_norm: 186.68619749607183
  iteration: 18
  log_dir: /home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo
  policy_loss: -0.0026559749188331456
  ratio: 0.9993217972608713
  success_rate: 0.05
  total_episodes: 1394
  total_loss: 43.45939178711329
  total_steps: 380000
  total_time: 2180.4402210712433
  value_loss: 43.46204772851406

===== ppo Training Iteration 19 =====:
  adv_mean: 2.074369192123413
  entropy: 1.2631785744275803
  episode_reward: 124.46514586691438
  frame_per_second: 174
  grad_norm: 231.65165778918143
  iteration: 19
  log_dir: /home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo
  policy_loss: -0.001999615047437449
  ratio: 0.9999615663137191
  success_rate: 0.02
  total_episodes: 1517
  total_loss: 52.296291952866774
  total_steps: 400000
  total_time: 2297.939502954483
  value_loss: 52.29829151936067

===== ppo Training Iteration 20 =====:
  adv_mean: 1.5997705459594727
  entropy: 1.226133913718737
  episode_reward: 130.16214026983317
  frame_per_second: 173
  grad_norm: 262.183925589537
  iteration: 20
  log_dir: /home/yingqi/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo
  policy_loss: -0.00280184380363864
  ratio: 0.9989859099571522
  success_rate: 0.03
  total_episodes: 1643
  total_loss: 51.99187733576848
  total_steps: 420000
